V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
-2.312226542326299761e+00,1.951992010641580233e+00,-1.609850732297689824e+00,3.997905587546799921e+00,-5.221878646677640123e-01,-1.426545319205949847e+00,-2.537387306245790342e+00,1.391657248298040050e+00,-2.770089277194330180e+00,-2.772272144659149617e+00,3.202033207096349976e+00,-2.899907388494729954e+00,-5.952218813246049622e-01,-4.289253782442170149e+00,3.897241202744870514e-01,-1.140747179806570033e+00,-2.830055674504369900e+00,-1.682246818082569831e-02,4.169557050379070762e-01,1.269105590614739987e-01,5.172323708617639904e-01,-3.504936860529739989e-02,-4.652110761823879392e-01,3.201981985145260223e-01,4.451916747317240242e-02,1.778397982844009961e-01,2.611450025676770315e-01,-1.432758746989190035e-01,-3.532293929668235410e-01
-3.043540623997599948e+00,-3.157307120902279607e+00,1.088462779972849903e+00,2.288643618381399847e+00,1.359805129661070033e+00,-1.064822522981309971e+00,3.255742661586140119e-01,-6.779365319062770345e-02,-2.709528362265479773e-01,-8.385865645826819925e-01,-4.145754482857249568e-01,-5.031408595668239725e-01,6.765015446358628726e-01,-1.692028933059059881e+00,2.000634839090150052e+00,6.667796959019660630e-01,5.997174138417320499e-01,1.725321007455139721e+00,2.833448301494950194e-01,2.102338792594439898e+00,6.616959248457070508e-01,4.354772089663410117e-01,1.375965742543060255e+00,-2.938031527340209670e-01,2.797980318412139900e-01,-1.453617148151609972e-01,-2.527731225307049967e-01,3.576422517881559793e-02,1.761758203626355046e+00
-2.303349567585529556e+00,1.759247460266999852e+00,-3.597447433300519637e-01,2.330243050539170024e+00,-8.216283283754221012e-01,-7.578757061945989859e-02,5.623197822669540047e-01,-3.991465784872160194e-01,-2.382533676617459850e-01,-1.525411626561939960e+00,2.032912157550720078e+00,-6.560124295059620358e+00,2.293732348909609947e-02,-1.470101536111970031e+00,-6.988260685790470550e-01,-2.282193828562509630e+00,-4.781830855975329975e+00,-2.615664944761240118e+00,-1.334441066673069942e+00,-4.300218671716110608e-01,-2.941663175547529763e-01,-9.323910572749909420e-01,1.727262957994220027e-01,-8.732953797007239616e-02,-1.561142646511719800e-01,-5.426278890401959876e-01,3.956598892647569810e-02,-1.530287965297880137e-01,6.060314275447101773e-01
-4.397974441719989969e+00,1.358367028397580167e+00,-2.592844218257299715e+00,2.679786966948320082e+00,-1.128130942089559996e+00,-1.706536387749510109e+00,-3.496197293024669861e+00,-2.487777430256729871e-01,-2.477678994800799617e-01,-4.801637406028129718e+00,4.895844223475230628e+00,-1.091281931940190120e+01,1.843716858343869835e-01,-6.771096724680830015e+00,-7.326182577712109581e-03,-7.358083221323460599e+00,-1.259841854055109955e+01,-5.131548628429830394e+00,3.083339457586910526e-01,-1.716078786479599827e-01,5.735740684243519905e-01,1.769677180481950274e-01,-4.362068835974010073e-01,-5.350186488842850058e-02,2.524052619518329932e-01,-6.574877547645040510e-01,-8.271357145786030207e-01,8.495733799857678736e-01,-1.173423075244841712e-01
1.234235046134679825e+00,3.019740420703399764e+00,-4.304596884796649370e+00,4.732795130418869789e+00,3.624200830553859998e+00,-1.357745663153580029e+00,1.713444987872350112e+00,-4.963584870739909949e-01,-1.282857820363219936e+00,-2.447469255111510034e+00,2.101343865048539872e+00,-4.609628390644600060e+00,1.464377624761879826e+00,-6.079337193080049495e+00,-3.392373727325769250e-01,2.581850953781459790e+00,6.739384384783349446e+00,3.042493178304109591e+00,-2.721853122228349964e+00,9.060836395345259198e-03,-3.790683070921800346e-01,-7.041810322154270496e-01,-6.568047563483889739e-01,-1.632652956929290022e+00,1.488901448382370152e+00,5.667972734689339376e-01,-1.001622349656250063e-02,1.467927349169880213e-01,-3.492313067728856080e-01
8.430364895582541374e-03,4.137836834979980338e+00,-6.240696571947440319e+00,6.675732163134401098e+00,7.683070245714491708e-01,-3.353059547889940095e+00,-1.631734672718090140e+00,1.546124482247399901e-01,-2.795892464462810256e+00,-6.187890629706469525e+00,5.664394708571159676e+00,-9.854484822870368532e+00,-3.061666582500839895e-01,-1.069119621181710045e+01,-6.384981926733220847e-01,-2.041973791077679845e+00,-1.129055877035850086e+00,1.164525212263640003e-01,-1.934665738897269893e+00,4.883782211347150182e-01,3.645142097847899887e-01,-6.080571338387030789e-01,-5.395279418200928934e-01,1.289399829918130014e-01,1.488481210068679950e+00,5.079626778238499618e-01,7.358216361196618926e-01,5.135737406794369520e-01,-3.492313067728856080e-01
2.677922644915160105e-02,4.132463897130029373e+00,-6.560599968096580525e+00,6.348556673139829520e+00,1.329665669041419918e+00,-2.513478847624130097e+00,-1.689102200313279845e+00,3.032528005475889632e-01,-3.139409057364570099e+00,-6.045467797788009356e+00,6.754625448096949647e+00,-8.948178578933170257e+00,7.027249980998728773e-01,-1.073385410323059830e+01,-1.379519856817179813e+00,-1.638960114855869898e+00,-1.746350136281030085e+00,7.767440979267540291e-01,-1.327356635490149817e+00,5.877432190064069140e-01,3.705086514932529607e-01,-5.767524731743298716e-01,-6.696053717662379112e-01,-7.599075295386178430e-01,1.605055550174620205e+00,5.406753964288990577e-01,7.370403816839771194e-01,4.966991081683370668e-01,-3.492313067728856080e-01
3.295943333182219659e-01,3.712889295241029952e+00,-5.775935108316660127e+00,6.078265505608279717e+00,1.667359013119479982e+00,-2.420168413515620287e+00,-8.128912494913330677e-01,1.330801179707480075e-01,-2.214311312049609626e+00,-5.134454471106329798e+00,4.560720105502230837e+00,-8.873748361645349192e+00,-7.974835996284741491e-01,-9.177166370091461189e+00,-2.570247751442399919e-01,-8.716884904515640464e-01,1.313013629077969924e+00,7.739138725529229879e-01,-2.370599450598109836e+00,2.697727759782839740e-01,1.566171693897930040e-01,-6.524504409322989806e-01,-5.515722193923640049e-01,-7.165216353571970398e-01,1.415716615089220198e+00,5.552647397875820623e-01,5.305073888909119795e-01,4.044740545287120459e-01,-3.492313067728856080e-01
3.164590004449819860e-01,3.809075946678289970e+00,-5.615159011194569949e+00,6.047445102164779485e+00,1.554025956925719987e+00,-2.651353112013700386e+00,-7.465792731002220961e-01,5.558631125292520098e-02,-2.678678542239899762e+00,-4.959492911614959532e+00,6.439053351583729601e+00,-7.520117392887030405e+00,3.863516674107699833e-01,-9.252307247475130225e+00,-1.365188415020510027e+00,-5.023621906181640062e-01,7.844265981542740684e-01,1.494304607438379895e+00,-1.808012158673570235e+00,3.883074282389269993e-01,2.088283690016739802e-01,-5.117466192007220638e-01,-5.838132208137231105e-01,-2.198450290914230054e-01,1.474752584406879841e+00,4.911919256560060565e-01,5.188682845772870644e-01,4.025280676723200224e-01,-3.492313067728856080e-01
7.256457398198570274e-01,2.300894437766029643e+00,-5.329976183009169866e+00,4.007682804682000111e+00,-1.730410590252059899e+00,-1.732192568222439943e+00,-3.968592618137070094e+00,1.063728153441050095e+00,-4.860965523448329551e-01,-4.624984954065959997e+00,5.588723914676200444e+00,-7.148242636378450143e+00,1.680450740964120060e+00,-6.210257746610280627e+00,4.952821178142979841e-01,-3.599540209218400122e+00,-4.830324242105709764e+00,-6.490901202116939883e-01,2.250123248788100216e+00,5.046462261032860219e-01,5.896691273231979835e-01,1.095413192299130173e-01,6.010452765210789750e-01,-3.647002782200390314e-01,-1.843077692151939839e+00,3.519092984348919928e-01,5.945499780864639261e-01,9.937223604164870105e-02,-3.492313067728856080e-01
