V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
1.737083132443769884e+00,-3.366814259389370179e-01,-2.283785634359509764e+00,5.427215746794269435e-01,5.483387237744220544e-01,-8.553068280873119544e-01,6.581698095778000246e-01,-3.873517985052619683e-01,2.542593558959330147e-01,-4.897075155145940162e-01,-5.945221153388399182e-01,3.519414422100500262e-01,6.775721688462500447e-01,-9.235589597865370148e-01,7.453947501375089713e-02,2.168865517298049772e-01,5.212395587620360926e-01,-2.203420857905199759e-01,2.094473350376069992e-02,2.724391067137589828e-01,-1.302645766620189882e-01,-6.467225209729279278e-01,2.341108372629839909e-02,4.247390550453560287e-01,-6.695493355928819335e-02,3.261884451716660083e-01,-1.076650476063549938e-01,-3.609809206278889650e-03,4.148029648886576992e-01
-1.712564721309219884e+00,-8.430315460544779427e-01,5.631291612781379463e-01,1.568280184074469785e-01,3.742743425796520862e-01,-1.849822279208219733e-01,8.757924697868270381e-02,4.503132783404000250e-01,-3.114626467868459869e-01,-9.240953181526890825e-01,-1.803968486564040186e+00,2.215129402385150326e-01,1.245417553852989911e+00,1.114896870166669912e-01,8.111275833526070400e-01,3.652370663825660335e-01,-3.740941397487360098e-01,1.790912232630450240e-01,1.351980152859850293e+00,8.117107478692130451e-01,8.632503784231200517e-03,-7.694895355481869981e-01,3.484078028379760106e-01,-9.883092157705191116e-01,-3.758223585875279382e-01,4.656279271164019962e-01,-5.981063698969790038e-02,-1.132190188068050024e-01,4.303955010450157270e-01
-5.545427461108549672e+00,5.329020337166110011e+00,-2.737539477038489988e+00,-2.871492589319529554e+00,7.972584582385291441e-01,-1.492709203508200133e+00,2.525143325177329867e+00,-1.210039308547830039e+00,5.164625855557679834e+00,9.034018995636198923e+00,1.676281866788560171e+00,3.699890878097839564e-01,-8.228025507911460035e-02,-2.265227154667230014e+00,-3.202618263231430396e-01,-1.479181440062719899e+00,-1.636147579125339924e+00,-4.122408400037200216e-01,-4.647775832927970585e-01,3.689270690392940200e+00,-8.848656462189800065e-01,7.145915838141758680e-01,-2.740407448911749699e-01,-3.770515634513429415e-01,7.809181718749890200e-01,-1.069927562103629992e-01,8.293270446423148812e-01,-8.634429392767930533e-01,-3.286011820121657601e-01
-2.471272929664970253e+00,-2.176108326979250052e+00,1.105481679970419906e+00,-1.026586945030679932e+00,-1.348606581326449838e+00,8.932827279356371220e-01,-3.535887879606539608e-01,8.049161224847271034e-01,-5.148314266575471088e-01,-4.227926677122239574e-01,7.625463971233120697e-01,-1.470811622022689946e-01,-1.257849043112519993e+00,-2.175800875243239785e-01,-1.313126595393310003e+00,8.555330383899349966e-01,9.275810240205060175e-01,-1.623909258553120294e+00,-1.160516966236930098e-01,-7.481619237691930491e-02,2.726063332893299829e-01,5.340523826284339082e-01,-6.900882775049570206e-02,-2.518993468006400227e-01,-5.464904438158660893e-01,-4.271443338401629819e-01,1.984743842616470133e-01,-2.552012542297029674e-01,1.031027989960314972e+00
1.214353401657429998e+00,-9.079519844122670991e-01,4.970468720097920290e-01,-8.073732027194828742e-01,-1.062069593896020070e+00,4.048346047493289745e-02,-8.175287072415369227e-01,6.905744570249379433e-02,-7.978379109014900328e-01,7.593223995594129416e-01,4.923710240592460430e-01,4.269127889125209907e-01,7.102468071581969911e-01,-1.967291409411070155e-02,5.188962877603779944e-01,-4.692455262711620056e-01,-7.487143863576708469e-01,1.816775462758080106e+00,-2.959626925647579898e-01,-2.405415910339520069e-01,-4.259308105341160222e-01,-9.694073815746480083e-01,1.114351680265089975e-02,-4.883656274820850074e-01,-3.126586392427770089e-02,8.833978359970291461e-01,-4.845976644486160029e-02,1.775919329812690114e-02,1.119616361062111820e-02
4.801186285303970513e-01,9.700282129111770235e-01,-2.149504052532490161e-02,8.393366684794441035e-01,8.720360737695570519e-01,3.177472645895990100e-01,3.613892541381270584e-01,-9.579010141905179854e-01,-9.912806383853299819e-01,2.023251033980510427e-01,3.352211400927439522e-01,9.404419462226160098e-01,1.241532084050429807e+00,5.977873732621120650e-01,3.792148449580560743e-01,-3.977238357426530341e-02,-7.324562664155840341e-01,5.846273597498210517e-01,1.396532941281670048e+00,-1.851194344651729828e-02,7.658626081310869749e-01,-1.689256416098229852e-01,-4.484142786846679329e-01,-9.843575654365139815e-01,1.178384801395780057e+00,-5.975740891269389760e-02,1.793010216265080170e-01,2.031675349137060382e-01,-3.349581390605270714e-01
-8.691904975948290257e-01,-4.347236962917619962e-01,1.418116362847460010e+00,-2.578358431971540021e+00,-5.261164108827119934e-01,-9.977082524152040000e-01,-1.988284930046639587e-01,-2.355955476449430042e-01,-2.085106589493570084e+00,8.594838103316649880e-01,-1.243897117464489943e+00,-1.628230516388149862e+00,-4.581445234004449807e-01,-4.258214870304779520e-01,-3.847823096735470960e-01,-6.457573285687490117e-01,5.424404537732240295e-01,5.062200309284430044e-02,-1.142106351796109975e-01,-5.310236016045860596e-01,-1.917695709864689901e-01,-1.575071035462349833e-01,-5.061869048518660152e-01,3.020463420682630018e-02,5.671486542866800429e-01,-5.802520031972119990e-02,-1.536090793380650021e-01,1.148531420194369955e-02,-2.732676690880644355e-01
1.210969644792340150e+00,-8.016819092834369664e-01,7.962313478836559322e-02,-1.724734857176410063e+00,-4.633992322319950286e-01,4.273526665319500317e-01,-6.653563947080930463e-01,1.421614284054019961e-01,1.694300003633899987e+00,-1.039954870220000105e+00,-1.370805295359119880e-01,1.193397598398409976e+00,9.287778644701841779e-01,-2.521907425834210015e-01,6.949924842630480493e-01,2.565583433058810092e-01,-9.906622960722829552e-01,1.188191782226139859e+00,1.588075711886770103e+00,1.733728019294689948e-01,1.029278629165750053e-01,4.070637011705560138e-01,-4.026443585492590072e-01,-1.302921879389520088e+00,6.813366556037738775e-01,1.943030389390100199e-01,3.006637617564079934e-02,9.612036448619520890e-03,-4.937484222753893426e-02
1.959814316936089984e+00,-9.385806692865170664e-01,-1.723641876774500092e+00,-9.263605798453530271e-01,-1.721576343204019588e-01,-9.382329533062679916e-01,1.128924284551530155e-01,-4.695024537595359759e-01,-9.535454801494128718e-01,7.347681846352599466e-01,-2.713516676361140134e-01,2.435100758853150082e-01,1.725380693461290083e+00,-1.244766136079759888e-01,1.801635408542120176e-01,7.828735793554879585e-01,1.322964734671900067e-01,-1.968806654670549827e+00,5.724609451887280320e-01,3.758228715068520631e-01,1.514776709033690272e-01,1.029906372570940087e-01,1.050022879805509873e-01,7.202366901412099454e-01,-5.573141878671959704e-02,-3.626015295863150301e-01,-6.716133331275120355e-02,-2.779210599028009848e-02,2.765891251642225712e-01
9.436128924254839900e-02,8.671790630198240590e-01,9.769589088872199928e-03,-7.501252565749979562e-01,7.648908091695200140e-01,-7.249982941884529630e-01,1.012442093624710049e+00,-1.766264801024220177e-01,-3.257552561015159692e-02,-4.164454915890929976e-01,-1.504541573432120138e+00,3.507644006954620253e-02,3.669925520869400382e-01,2.382779583174650037e-02,-3.787126143730209504e-01,9.713299035168999895e-02,-6.732682007352289721e-01,-5.521448106413380241e-01,1.750653791622610034e-01,-2.470802094414869827e-03,-3.036030238817630234e-01,-6.792293595544320883e-01,-1.986335149055840077e-02,-6.551238865725980132e-01,-3.892824484372660043e-01,1.803685760281639461e-01,2.480069602518430449e-01,9.086569722241409630e-02,-3.425145219670698293e-01
-3.358622510516669490e-01,5.522456322020149466e-01,1.249137250299559854e-01,-7.134943581444049832e-01,7.819050983811220989e-01,-7.315593554111190500e-01,8.260213382595958942e-01,-7.205909061686159578e-02,-1.922017344635630065e-01,-1.168593097655449969e-01,4.951197889804820895e-01,7.181634908299029396e-01,-1.081939220264220049e-02,2.491115075584139638e-01,-1.052944601208980036e+00,1.963694864445680033e-01,-7.895948208692780135e-01,-1.457244009186480227e-01,3.543866955849269695e-01,-7.467896563032480617e-02,-2.326548642221549779e-01,-4.947926568338179565e-01,2.750004903569689962e-01,-3.487773795104160413e-01,-4.251232080828820092e-01,1.387070063745780013e-01,1.438773128293099890e-01,5.364227977943720332e-02,-3.425545028290092331e-01
