V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29
-4.527782917022705078e+00,-4.396936893463134766e+00,-3.780349791049957275e-01,2.794569253921508789e+00,1.730256915092468262e+00,1.239459991455078125e+00,1.619540810585021973e+00,8.733431249856948853e-02,-1.074332594871520996e+00,1.280034035444259644e-01,1.057616233825683594e+00,-2.790695428848266602e-01,-4.474465548992156982e-01,8.652387857437133789e-01,2.497141599655151367e+00,-1.251388430595397949e+00,6.491065025329589844e-01,1.710398495197296143e-01,1.958381891250610352e+00,-1.278894692659378052e-01,1.296211332082748413e-01,1.465582966804504395e+00,3.026225328445434570e+00,-1.653871536254882812e+00,1.447879791259765625e+00,3.897715210914611816e-01,6.232388019561767578e-01,-2.640846669673919678e-01,2.027631044387817383e+00
-3.379050731658935547e+00,-3.238921165466308594e+00,8.539853096008300781e-01,2.829913198947906494e-01,1.187705039978027344e+00,-7.055343389511108398e-01,7.313107252120971680e-01,-2.649889886379241943e-01,4.860253632068634033e-01,-3.063078820705413818e-01,-9.127615690231323242e-01,-1.140174567699432373e-01,6.441174745559692383e-01,-5.105279088020324707e-01,8.111353516578674316e-01,5.880041122436523438e-01,-9.832651615142822266e-01,4.124683737754821777e-01,-3.793969154357910156e-01,5.126913785934448242e-01,1.704953163862228394e-01,6.658257246017456055e-01,1.088636517524719238e+00,7.047364115715026855e-01,3.146196901798248291e-01,3.617563843727111816e-01,8.754264563322067261e-02,2.836295664310455322e-01,1.405928492546081543e+00
-1.046047687530517578e+01,-1.033349418640136719e+01,5.753012895584106445e-01,4.378912448883056641e+00,1.285519719123840332e+00,-9.036023616790771484e-01,2.091106414794921875e+00,-1.042053341865539551e+00,1.520210981369018555e+00,7.014423012733459473e-01,3.418304622173309326e-01,1.431734859943389893e-01,6.725924611091613770e-01,-1.624219894409179688e+00,1.328488707542419434e+00,-9.047243744134902954e-02,5.907194688916206360e-02,-7.337561249732971191e-01,1.787938356399536133e+00,-5.109599590301513672e+00,-2.311564445495605469e+00,1.333679437637329102e+00,7.493327140808105469e+00,6.971220970153808594e-01,2.342540979385375977e+00,1.558192074298858643e-01,1.988682031631469727e+00,-1.258950471878051758e+00,2.457425117492675781e+00
-2.546300411224365234e+00,-2.890561819076538086e+00,8.892095088958740234e-01,-6.451117992401123047e-01,3.442079067230224609e+00,-1.754879951477050781e+00,-2.203448534011840820e+00,-1.197417601943016052e-01,7.479207515716552734e-01,-6.647966802120208740e-02,1.139687299728393555e+00,-1.979950189590454102e+00,3.294089317321777344e+00,-9.112825989723205566e-01,-1.422724246978759766e+00,-2.520674169063568115e-01,8.142675161361694336e-01,2.842073917388916016e+00,-7.801847457885742188e-01,-6.898983716964721680e-01,-5.628464221954345703e-01,-4.209393560886383057e-01,-5.493094921112060547e-01,-1.062991738319396973e+00,-7.868110537528991699e-01,8.843616247177124023e-01,1.874590218067169189e-01,-8.403035253286361694e-02,-2.792648077011108398e-01
-5.532896041870117188e+00,-5.911097526550292969e+00,1.605893373489379883e+00,5.278099775314331055e-01,3.424936294555664062e+00,2.486133277416229248e-01,-6.063247919082641602e-01,4.999311268329620361e-01,8.325148224830627441e-01,-6.367385387420654297e-01,5.506029725074768066e-01,7.338987588882446289e-01,-4.383354634046554565e-02,-7.476062774658203125e-01,-3.469976186752319336e-01,-3.869170844554901123e-01,-5.729476921260356903e-03,-8.942755460739135742e-01,2.119068056344985962e-01,-6.518861651420593262e-01,-5.392411947250366211e-01,1.726310402154922485e-01,4.134033679962158203e+00,-1.688088417053222656e+00,1.170098066329956055e+00,7.455615997314453125e-01,4.177539944648742676e-01,-6.138938069343566895e-01,3.960919082164764404e-01
-5.173041343688964844e+00,-4.356159687042236328e+00,1.676219105720520020e+00,1.218904376029968262e+00,2.500327825546264648e+00,-1.855654239654541016e+00,-2.037637531757354736e-01,-5.391588211059570312e-01,2.385268211364746094e+00,-3.898060023784637451e-01,2.807862460613250732e-01,-3.101711511611938477e+00,1.052559256553649902e+00,1.033394575119018555e+00,1.249106884002685547e+00,1.139201372861862183e-01,1.263045519590377808e-01,5.275433063507080078e-01,1.123951435089111328e+00,-2.508272886276245117e+00,-1.220167994499206543e+00,5.024155229330062866e-02,3.419678449630737305e+00,-1.997659653425216675e-01,1.280138492584228516e+00,-5.071694850921630859e-01,6.488583087921142578e-01,-5.320523381233215332e-01,-3.447534441947937012e-01
-4.892930507659912109e+00,-2.096926450729370117e+00,2.843949496746063232e-01,5.118285655975341797e+00,7.636681199073791504e-01,2.733275651931762695e+00,-1.979473710060119629e+00,1.900332212448120117e+00,-1.853333473205566406e+00,8.461560010910034180e-01,1.890824884176254272e-01,3.858235776424407959e-01,4.525235593318939209e-01,9.828914403915405273e-01,1.692113041877746582e+00,6.935785412788391113e-01,7.481992244720458984e-01,1.441050507128238678e-02,5.962205529212951660e-01,-1.092660307884216309e+00,-5.608879774808883667e-02,1.042460352182388306e-01,-1.945331811904907227e+00,-7.336518168449401855e-01,-6.195590496063232422e-01,4.681276082992553711e-01,7.618018984794616699e-01,-1.472977876663208008e+00,1.008038997650146484e+00
-3.310822963714599609e+00,-2.082227706909179688e+00,1.752537250518798828e+00,3.017212390899658203e+00,4.747523307800292969e+00,-5.478766560554504395e-01,-2.513369619846343994e-01,-6.516835689544677734e-01,-7.285335659980773926e-01,2.345547914505004883e+00,-9.391248971223831177e-02,-1.212205410003662109e+00,-1.503083586692810059e+00,-4.688913226127624512e-01,-1.113992691040039062e+00,8.412058353424072266e-01,-1.592006206512451172e+00,5.397419333457946777e-01,-9.515455961227416992e-01,-8.222122788429260254e-01,-1.976051926612854004e-01,6.154003739356994629e-01,-1.353428483009338379e+00,1.153785437345504761e-01,8.551025390625000000e-01,2.417417168617248535e-01,-9.043841361999511719e-01,-2.449251711368560791e-01,-3.108896613121032715e-01
-1.549427866935729980e+00,1.481194376945495605e+00,1.583157658576965332e+00,3.828634023666381836e-01,-9.471823573112487793e-01,5.195482969284057617e-01,-2.083414793014526367e+00,-5.157715797424316406e+00,-3.646153509616851807e-01,-1.644325017929077148e+00,-7.788634300231933594e-01,8.654095530509948730e-01,-1.979811489582061768e-01,3.490005433559417725e-01,-3.876786530017852783e-01,8.662301301956176758e-02,2.760333716869354248e-01,-6.429059803485870361e-02,-3.305894434452056885e-01,1.171780467033386230e+00,-2.335160017013549805e+00,1.554858207702636719e+00,1.018724367022514343e-01,7.699937820434570312e-01,-3.794375360012054443e-01,3.821574449539184570e-01,9.413800388574600220e-02,1.979996412992477417e-01,-2.336866110563278198e-01
-2.812662839889526367e+00,2.395802974700927734e+00,1.674199700355529785e-01,-1.322222590446472168e+00,-5.094133689999580383e-02,2.435502767562866211e+00,-2.660031557083129883e+00,-7.406330585479736328e+00,8.776233196258544922e-01,9.258506447076797485e-02,-5.199348926544189453e-01,1.507623493671417236e-01,-1.440793752670288086e+00,4.049741029739379883e-01,-4.155974388122558594e-01,8.581821918487548828e-01,-4.300649762153625488e-01,1.301609635353088379e+00,-2.197235822677612305e-03,-1.731459498405456543e+00,7.939709663391113281e+00,-1.767500162124633789e+00,7.631525993347167969e-01,-3.224177360534667969e-01,5.193864926695823669e-02,7.065121531486511230e-01,4.256098866462707520e-01,2.078447192907333374e-01,-3.292808532714843750e-01
